OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,X,Y,Location_T,Remarks,City,SSID,SourceID,Activated,BoroCode,Borough Name,Neighborhood Tabulation Area Code (NTACODE),Neighborhood Tabulation Area (NTA),Council Distrcit,Postcode,BoroCD,Census Tract,BCTCB2010,BIN,BBL,DOITT_ID,"Location (Lat, Long)"
11726,2,Limited Free,ALTICEUSA,Crotona Park,CROTONA PARK C/O EAST 173RD ST AND FULTON AVE,40.8406639999,-73.8983720002,"1,012,370.03233","245,570.243161",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,09/09/9999,2,Bronx,BX01,Claremont-Bathgate,16,10457,203,167,167,0,0,1285,"(40.8406639999, -73.8983720002)"
9823,1,Free,Fiberless,Governors Island,Liggett B Food Court,40.6903899996,-74.0199599995,"978,714.677069","190,804.762797",Outdoor,Free - up to 5 mbs,New York,Governors Island,Governors Island Trust,09/09/9999,1,Manhattan,MN99,Governors Island,1,10004,101,5,5,1086341,1000010010,4920,"(40.6903899996, -74.0199599995)"
10915,1,Free,Harlem,,pole 51n - 131NWC5th,40.81026,-73.9395100003,"1,000,994.97568","234,482.426426",Outdoor,,New York,Harlem Wi-Fi,,09/09/9999,1,Manhattan,MN03,Central Harlem North-Polo Grounds,9,10037,110,208,208,0,0,748,"(40.81026, -73.9395100003)"
12084,3,Free,LinkNYC - Citybridge,bk-02-126166,181 Court Street,40.6879008003,-73.9931469103,"986,150.575255","189,897.318418",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-000049,01/05/2018,3,Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,11201,302,43,43,3002846,3002800020,3039,"(40.6879008003, -73.9931469103)"
12080,3,Free,LinkNYC - Citybridge,bk-02-126505,620 ATLANTIC AVENUE,40.6836250004,-73.9770060002,"990,627.361249","188,340.282818",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-000044,07/25/2017,3,Brooklyn,BK37,Park Slope-Gowanus,35,11217,302,129,129,3348849,3020017500,3035,"(40.6836250004, -73.9770060002)"
12500,5,Free,LinkNYC - Citybridge,si-02-125476,19 SEAVIEW AVENUE,40.5909830002,-74.1007320003,"956,273.280351","154,603.543533",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Staten Island,LinkNYC Free Wi-Fi,LINK-001752,02/28/2017,5,Staten Island,SI36,Old Town-Dongan Hills-South Beach,50,10304,502,96,96,5048677,5033050090,3585,"(40.5909830002, -74.1007320003)"
9932,3,Free,BPL,Saratoga - Brooklyn Public Library,8 THOMAS S BOYLAND STREET,40.6848100477,-73.915132416,"1,007,787.51197","188,782.594926",Library,,Brooklyn,BPLUNWIRED,,09/09/9999,3,Brooklyn,BK79,Ocean Hill,41,11233,316,373,373,3040218,3014980035,345,"(40.6848100477, -73.915132416)"
10191,4,Free,LinkNYC - Citybridge,qu-01-145954,43-40 NORTHERN BOULEVARD,40.7536406401,-73.9184016594,"1,006,857.44756","213,858.819051",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-020932,11/07/2017,4,Queens,QN31,Hunters Point-Sunnyside-West Maspeth,26,11101,401,171,171,4441943,4001430500,4639,"(40.7536406401, -73.9184016594)"
10390,3,Limited Free,ALTICEUSA,MARIA HERNANDEZ,IN PARK BELOW PLAYGROUND AREA SOUTH SIDE,40.7025399998,-73.9238159997,"1,005,373.55518","195,239.922234",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,09/09/9999,3,Brooklyn,BK77,Bushwick North,34,11237,304,429,429,0,3032030001,245,"(40.7025399998, -73.9238159997)"
11491,1,Free,LinkNYC - Citybridge,mn-03-123802,237 1 AVENUE,40.7312190398,-73.9828270001,"989,009.513763","205,679.853454",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-014015,10/06/2017,1,Manhattan,MN22,East Village,2,10003,103,40,40,1006522,1004550030,4386,"(40.7312190398, -73.9828270001)"
10721,1,Free,LinkNYC - Citybridge,mn-03-139455,242 EAST 10 STREET,40.728824,-73.9846799999,"988,496.105669","204,807.170488",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-008305,10/06/2017,1,Manhattan,MN22,East Village,2,10003,103,40,40,1006417,1004510030,3827,"(40.728824, -73.9846799999)"
12228,1,Free,LinkNYC - Citybridge,mn-06-123634,203 3 AVENUE,40.7356259996,-73.9853220002,"988,317.753007","207,285.321372",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000243,01/19/2016,1,Manhattan,MN21,Gramercy,2,10003,106,48,48,1019551,1008980000,3111,"(40.7356259996, -73.9853220002)"
12237,1,Free,LinkNYC - Citybridge,mn-06-121488,323 3 AVENUE,40.739528,-73.9824889997,"989,102.585755","208,707.087557",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000264,12/05/2016,1,Manhattan,MN20,Murray Hill-Kips Bay,2,10010,106,66,66,1082137,1009050000,3120,"(40.739528, -73.9824889997)"
10885,1,Free,LinkNYC - Citybridge,mn-05-134211,736 7 AVENUE,40.7602353199,-73.9840119597,"988,679.171576","216,251.350355",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-010160,06/12/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10019,105,125,125,1024777,1010200040,3843,"(40.7602353199, -73.9840119597)"
11822,1,Free,LinkNYC - Citybridge,mn-08-135080,400 EAST 68 STREET,40.7651194601,-73.9576938298,"995,969.231143","218,033.22901",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-014618,06/15/2018,1,Manhattan,MN31,Lenox Hill-Roosevelt Island,5,10065,108,116,116,1045572,1014620000,4442,"(40.7651194601, -73.9576938298)"
12730,1,Free,LinkNYC - Citybridge,mn-03-123269,170 2 AVENUE,40.7302489998,-73.9863479994,"988,033.720439","205,326.265906",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-003229,09/13/2016,1,Manhattan,MN22,East Village,2,10003,103,40,40,1006435,1004520010,3657,"(40.7302489998, -73.9863479994)"
12942,1,Free,LinkNYC - Citybridge,mn-06-121538,300 EAST 45 STREET,40.7516323603,-73.9706571702,"992,379.902692","213,117.969811",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-007631,03/06/2018,1,Manhattan,MN19,Turtle Bay-East Midtown,4,10017,106,90,90,1038762,1013370050,3796,"(40.7516323603, -73.9706571702)"
11144,4,Free,LinkNYC - Citybridge,qu-04-145898,84-43 CORONA AVENUE,40.73933161,-73.8781299298,"1,018,022.28677","208,658.544347",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-019897,09/07/2017,4,Queens,QN50,Elmhurst-Maspeth,25,11373,404,485,485,4038727,4015460040,4587,"(40.73933161, -73.8781299298)"
12632,3,Free,LinkNYC - Citybridge,bk-16-126638,2208 FULTON STREET,40.6780789998,-73.9083739999,"1,009,664.4823","186,332.16938",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-002348,01/17/2017,3,Brooklyn,BK79,Ocean Hill,37,11233,316,369,369,3042262,3015520040,3632,"(40.6780789998, -73.9083739999)"
10108,1,Free,Manhattan Down Alliance,23,"Downtown Manhattan Heliport, 6 East River Piers, New York, USA",40.7015990998,-74.0093001995,"981,671.294844","194,888.075497",Outdoor,,New York,#DwtwnAllianceFreeWiFi,,09/09/9999,1,Manhattan,MN25,Battery Park City-Lower Manhattan,1,10004,101,9,9,1075697,1000020023,534,"(40.7015990998, -74.0093001995)"
12369,3,Free,Transit Wireless,"7 Av (B,Q)","7 Av (B,Q)",40.67705,-73.9723670001,"991,914.738596","185,945.192464",Subway Station,SN 41,Brooklyn,TransitWirelessWiFi,,09/09/9999,3,Brooklyn,BK64,Prospect Heights,39,11217,306,161,161,0,0,1698,"(40.67705, -73.9723670001)"
11053,4,Free,LinkNYC - Citybridge,qu-01-125116,42-02 30 AVENUE,40.7629999999,-73.9132590006,"1,008,278.88369","217,270.106848",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-013082,07/10/2017,4,Queens,QN70,Astoria,22,11103,401,149,149,4011927,4006960040,4250,"(40.7629999999, -73.9132590006)"
12286,3,Free,LinkNYC - Citybridge,bk-17-126297,3301 CHURCH AVE,40.6510267597,-73.9465128704,"999,091.849241","176,467.516209",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-001087,10/30/2017,3,Brooklyn,BK95,Erasmus,40,11203,317,818,818,3108643,3048700040,3469,"(40.6510267597, -73.9465128704)"
11459,1,Free,LinkNYC - Citybridge,mn-02-122267,504 6 AVENUE,40.7365398796,-73.9971555402,"985,038.281876","207,617.948659",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-010900,08/01/2018,1,Manhattan,MN23,West Village,3,10011,102,63,63,1080145,1005760010,3955,"(40.7365398796, -73.9971555402)"
12839,1,Free,LinkNYC - Citybridge,mn-08-121002,200 EAST 74 STREET,40.7709460001,-73.9594960004,"995,469.030372","220,155.794646",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000845,11/07/2016,1,Manhattan,MN31,Lenox Hill-Roosevelt Island,4,10021,108,126,126,1044011,1014280050,3343,"(40.7709460001, -73.9594960004)"
9916,3,Free,BPL,Red Hook - Brooklyn Public Library,7 WOLCOTT STREET,40.6752551911,-74.0103512916,"981,378.71997","185,290.252829",Library,,Brooklyn,BPLUNWIRED,,09/09/9999,3,Brooklyn,BK33,Carroll Gardens-Columbia Street-Red Hook,38,11231,306,53,53,3008650,3005770029,326,"(40.6752551911, -74.0103512916)"
12712,1,Free,LinkNYC - Citybridge,mn-06-143917,725 Lexington Ave,40.7615592304,-73.9683905603,"993,006.598289","216,734.870058",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000698,06/27/2017,1,Manhattan,MN19,Turtle Bay-East Midtown,4,10022,106,112,112,1086160,1013137500,3289,"(40.7615592304, -73.9683905603)"
10320,3,Free,LinkNYC - Citybridge,bk-05-145942,3368 FULTON STREET,40.6838205904,-73.8713797301,"1,019,922.57726","188,436.894173",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-021920,12/07/2017,3,Brooklyn,BK83,Cypress Hills-City Line,37,11208,305,184,184,3092807,3041470040,4725,"(40.6838205904, -73.8713797301)"
11112,2,Free,LinkNYC - Citybridge,bx-07-145853,2620 BRIGGS AVENUE,40.8648700001,-73.8927999994,"1,013,900.9876","254,391.24422",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-018398,10/26/2017,2,Bronx,BX05,Bedford Park-Fordham North,15,10458,207,399,399,2000000,2032930050,4555,"(40.8648700001, -73.8927999994)"
9652,1,Free,LinkNYC - Citybridge,mn-06-134559,378 3 AVENUE,40.7415361403,-73.9813326198,"989,422.881703","209,438.782944",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000277,01/17/2019,1,Manhattan,MN21,Gramercy,2,10016,106,68,68,1018177,1008830040,4851,"(40.7415361403, -73.9813326198)"
12771,1,Free,LinkNYC - Citybridge,mn-07-120535,856 AMSTERDAM AVE,40.7978261899,-73.9677477303,"993,179.813165","229,948.214038",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-003875,10/10/2016,1,Manhattan,MN12,Upper West Side,7,10025,107,187,187,1056513,1018730040,3698,"(40.7978261899, -73.9677477303)"
11085,1,Free,LinkNYC - Citybridge,mn-10-119893,2730 FREDERICK DOUGLASS BOULEVARD,40.8229240001,-73.9417229998,"1,000,379.29877","239,095.960506",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013348,10/19/2016,1,Manhattan,MN03,Central Harlem North-Polo Grounds,9,10039,110,232,232,1088715,1020310000,4282,"(40.8229240001, -73.9417229998)"
10465,3,Limited Free,ALTICEUSA,MARIA HERNANDEZ,IN PARK LEFT SIDE OF BASKETBNALL COURTS NORTH SIDE,40.7033079996,-73.9240869998,"1,005,298.17246","195,519.66216",Outdoor,3 free 10 min sessions,Brooklyn,GuestWiFi,,09/09/9999,3,Brooklyn,BK77,Bushwick North,34,11237,304,429,429,0,3032030001,842,"(40.7033079996, -73.9240869998)"
10661,1,Free,LinkNYC - Citybridge,mn-07-136130,2114 BROADWAY,40.7800194697,-73.9813959896,"989,402.343686","223,459.517698",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000949,10/16/2017,1,Manhattan,MN14,Lincoln Square,6,10023,107,159,159,1030545,1011657510,3419,"(40.7800194697, -73.9813959896)"
12313,4,Free,LinkNYC - Citybridge,qu-02-124955,38-02 QUEENS BLVD,40.74387741,-73.9269261104,"1,004,498.65076","210,299.676563",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-001160,02/21/2017,4,Queens,QN31,Hunters Point-Sunnyside-West Maspeth,26,11101,402,179,179,4003169,4002230020,3496,"(40.74387741, -73.9269261104)"
10978,1,Free,AT&T,Marcus Garvey Park,Amphitheater,40.8048000002,-73.9443,"999,670.262455","232,492.276207",Outdoor,,New York,attwifi,,09/09/9999,1,Manhattan,MN34,East Harlem North,9,10027,111,198,198,0,1017190001,11,"(40.8048000002, -73.9443)"
12154,1,Free,LinkNYC - Citybridge,mn-05-133690,333 5 AVENUE,40.7476272599,-73.9850371596,"988,395.94478","211,657.775225",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-012563,10/20/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10016,105,74,74,1017033,1008620070,4169,"(40.7476272599, -73.9850371596)"
12553,1,Free,LinkNYC - Citybridge,mn-04-107977,221 8 AVENUE,40.7442600298,-73.9993978695,"984,416.848408","210,430.63201",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000464,04/06/2016,1,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,3,10011,104,89,89,1087948,1007457500,3204,"(40.7442600298, -73.9993978695)"
12564,1,Free,LinkNYC - Citybridge,mn-04-122503,300 West 57Th St,40.7666381202,-73.9830918204,"988,933.62776","218,584.149168",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000484,07/07/2016,1,Manhattan,MN15,Clinton,3,10019,104,139,139,1025451,1010477500,3215,"(40.7666381202, -73.9830918204)"
10753,2,Limited Free,ALTICEUSA,Ferry Point Park,BALCOM AV 2/P/N/O SAMPSON AV,40.818752,-73.82456,"1,032,809.46422","237,619.212147",Outdoor,3 free 10 min sessions,Bronx,GuestWiFi,,09/09/9999,2,Bronx,BX52,Schuylerville-Throgs Neck-Edgewater Park,13,10465,210,110,110,0,0,1303,"(40.818752, -73.82456)"
10047,1,Free,NYPL,Roosevelt Island,524 MAIN STREET,40.7612533724,-73.9501658898,"998,055.346721","216,625.783006",Library,,New York,NYPL,,09/09/9999,1,Manhattan,MN31,Lenox Hill-Roosevelt Island,5,10044,108,23801,23801,1084695,1013730030,468,"(40.7612533724, -73.9501658898)"
12599,1,Free,LinkNYC - Citybridge,mn-09-120434,546 WEST 147 STREET,40.8275800002,-73.9492880002,"998,284.555252","240,791.008297",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-002061,08/22/2016,1,Manhattan,MN04,Hamilton Heights,7,10031,109,233,233,1061968,1020780060,3605,"(40.8275800002, -73.9492880002)"
10425,3,Free,Downtown Brooklyn,,110 Livingston St.,40.6908829998,-73.9896349995,"987,124.408937","190,983.916638",Outdoor,,Brooklyn,Downtown Brooklyn WiFi,,09/09/9999,3,Brooklyn,BK09,Brooklyn Heights-Cobble Hill,33,11201,302,9,9,3002642,3002697501,285,"(40.6908829998, -73.9896349995)"
12594,3,Free,Downtown Brooklyn,,254 Flatbush Ave. Extension (pole),40.6927230002,-73.9830250002,"988,957.355731","191,654.56884",Outdoor,,Brooklyn,Downtown Brooklyn WiFi,,09/09/9999,3,Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,11201,302,15,15,0,3020600008,999,"(40.6927230002, -73.9830250002)"
11935,3,Free,LinkNYC - Citybridge,bk-08-145992,685 Franklin Ave,40.6751409996,-73.9562809996,"996,376.960314","185,251.506187",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Brooklyn,LinkNYC Free Wi-Fi,LINK-018096,02/01/2018,3,Brooklyn,BK61,Crown Heights North,35,11216,308,221,221,3030857,3012240000,4483,"(40.6751409996, -73.9562809996)"
11474,1,Free,LinkNYC - Citybridge,mn-05-122871,2 WEST 53 STREET,40.7604737301,-73.9760991397,"990,871.238714","216,338.710089",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013920,10/20/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10019,105,104,104,1034520,1012687500,4369,"(40.7604737301, -73.9760991397)"
12468,1,Free,LinkNYC - Citybridge,mn-07-120268,301 WEST 109 STREET,40.8037209997,-73.967381,"993,280.551481","232,095.937105",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-001605,06/29/2016,1,Manhattan,MN09,Morningside Heights,7,10025,107,195,195,1057315,1018930040,3553,"(40.8037209997, -73.967381)"
12882,2,Free,LinkNYC - Citybridge,bx-07-145690,30 EAST KINGSBRIDGE ROAD,40.8670379998,-73.8965369996,"1,012,866.41946","255,179.887656",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-005579,11/08/2016,2,Bronx,BX05,Bedford Park-Fordham North,14,10468,207,401,401,2014144,2031910040,3736,"(40.8670379998, -73.8965369996)"
12441,1,Free,LinkNYC - Citybridge,mn-07-100260,214 WEST 96 STREET,40.7944615402,-73.9715730901,"992,121.068564","228,721.988472",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-001504,11/23/2016,1,Manhattan,MN12,Upper West Side,6,10025,107,183,183,1033707,1012430040,3526,"(40.7944615402, -73.9715730901)"
11225,1,Free,LinkNYC - Citybridge,mn-05-121950,32 EAST 50 STREET,40.7577338402,-73.9754336596,"991,055.87614","215,340.529671",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-013801,05/09/2017,1,Manhattan,MN17,Midtown-Midtown South,4,10022,105,102,102,1035455,1012850020,4350,"(40.7577338402, -73.9754336596)"
12805,1,Free,LinkNYC - Citybridge,mn-01-123076,110 Maiden Lane,40.7062418498,-74.0062435098,"982,518.956534","196,579.493046",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-000774,02/09/2018,1,Manhattan,MN25,Battery Park City-Lower Manhattan,1,10005,101,7,7,1000880,1000390010,3309,"(40.7062418498, -74.0062435098)"
11437,1,Free,LinkNYC - Citybridge,mn-05-121630,31 EAST 26 STREET,40.7427595303,-73.9864199897,"988,013.06136","209,884.243339",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-010807,04/14/2017,1,Manhattan,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,2,10010,105,56,56,1016880,1008560020,3933,"(40.7427595303, -73.9864199897)"
11286,1,Free,LinkNYC - Citybridge,mn-02-123600,1 ST LUKES PLACE,40.7302576896,-74.0066285504,"982,412.864227","205,329.206517",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-010750,01/26/2017,1,Manhattan,MN23,West Village,3,10014,102,67,67,1009773,1005830000,3916,"(40.7302576896, -74.0066285504)"
12405,3,Free,Transit Wireless,"Court St (M,R)/Borough Hall (2,3,4,5)","Court St (M,R)/Borough Hall (2,3,4,5)",40.6932189996,-73.9899979996,"987,023.645031","191,834.978257",Subway Station,SN 335,Brooklyn,TransitWirelessWiFi,,09/09/9999,3,Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,33,11201,302,11,11,0,3001390001,1736,"(40.6932189996, -73.9899979996)"
11555,1,Limited Free,SPECTRUM,Pelham Fritz Recreation Center,Amplitheater,40.8050129997,-73.9449089999,"999,501.615154","232,569.772771",Indoor,3 free 10 min sessions,New York,GuestWiFi,0,09/09/9999,1,Manhattan,MN34,East Harlem North,9,10027,111,198,198,1083967,1017190001,1079,"(40.8050129997, -73.9449089999)"
9770,2,Free,LinkNYC - Citybridge,bx-01-142736,613 WESTCHESTER AVENUE,40.8161882102,-73.9099166103,"1,009,184.8599","236,649.324979",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-014393,06/26/2018,2,Bronx,BX34,Melrose South-Mott Haven North,17,10455,201,75,75,2115751,2026240090,4887,"(40.8161882102, -73.9099166103)"
12915,4,Free,LinkNYC - Citybridge,qu-06-124181,110-88 QUEENS BOULEVARD,40.7186019996,-73.8381840006,"1,029,105.9293","201,124.039403",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Queens,LinkNYC Free Wi-Fi,LINK-006861,07/29/2016,4,Queens,QN17,Forest Hills,29,11375,406,769,769,4078802,4032930040,3769,"(40.7186019996, -73.8381840006)"
12091,2,Free,LinkNYC - Citybridge,bx-07-119564,48 WEST FORDHAM ROAD,40.8626436497,-73.9032440399,"1,011,013.1151","253,576.735678",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",Bronx,LinkNYC Free Wi-Fi,LINK-000070,09/15/2016,2,Bronx,BX30,Kingsbridge Heights,14,10468,207,253,253,2014307,2031990020,3046,"(40.8626436497, -73.9032440399)"
9634,1,Free,LinkNYC - Citybridge,mn-08-121048,26 EAST 84 STREET,40.7795609103,-73.9599541,"995,340.70845","223,294.436991",Outdoor Kiosk,"Tablet Internet -phone , Free 1 GB Wi-FI Service",New York,LinkNYC Free Wi-Fi,LINK-010697,09/09/9999,1,Manhattan,MN40,Upper East Side-Carnegie Hill,4,10028,108,142,142,1046790,1014950060,4833,"(40.7795609103, -73.9599541)"
